"modifier_code","name","kana","category","valid_from","valid_to","change_type","raw_record"
"","１５週","１５シュウ","0","","27000045","0","IjAiLCJaIiwiNzA4NyIsIiIsIiIsIjMiLCLvvJHvvJXpgLEiLCIiLCI1Iiwi77yR77yV44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDAzMDQwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDAwNDUiLCI1MzM1IiwiQTcwMDAwMDAi"
"","・１５週","１５シュウ","0","","27001898","0","IjAiLCJaIiwiODA5MyIsIiIsIiIsIjQiLCLjg7vvvJHvvJXpgLEiLCIiLCI1Iiwi77yR77yV44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE4OTgiLCI3SE0yIiwiQTgwMDAwMDAi"
"","１６型","１６ガタ","0","","27002124","0","IjAiLCJaIiwiODE2MiIsIiIsIiIsIjMiLCLvvJHvvJblnosiLCIiLCI0Iiwi77yR77yW44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE1MDMwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIxMjQiLCI2MzE1IiwiQTgwMDAwMDAi"
"","１６週","１６シュウ","0","","27000046","0","IjAiLCJaIiwiNzA4OCIsIiIsIiIsIjMiLCLvvJHvvJbpgLEiLCIiLCI1Iiwi77yR77yW44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDAzMDQwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDAwNDYiLCI1MzM2IiwiQTcwMDAwMDAi"
"","・１６週","１６シュウ","0","","27001899","0","IjAiLCJaIiwiODA5NCIsIiIsIiIsIjQiLCLjg7vvvJHvvJbpgLEiLCIiLCI1Iiwi77yR77yW44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE4OTkiLCI0M0I0IiwiQTgwMDAwMDAi"
"","１７型","１７ガタ","0","","27002125","0","IjAiLCJaIiwiODE2MyIsIiIsIiIsIjMiLCLvvJHvvJflnosiLCIiLCI0Iiwi77yR77yX44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE1MDMwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIxMjUiLCI3VUxSIiwiQTgwMDAwMDAi"
"","１７週","１７シュウ","0","","27000047","0","IjAiLCJaIiwiNzA4OSIsIiIsIiIsIjMiLCLvvJHvvJfpgLEiLCIiLCI1Iiwi77yR77yX44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDAzMDQwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDAwNDciLCI1MzM3IiwiQTcwMDAwMDAi"
"","・１７週","１７シュウ","0","","27001900","0","IjAiLCJaIiwiODA5NSIsIiIsIiIsIjQiLCLjg7vvvJHvvJfpgLEiLCIiLCI1Iiwi77yR77yX44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE5MDAiLCIzRlFQIiwiQTgwMDAwMDAi"
"","１８型","１８ガタ","0","","27002126","0","IjAiLCJaIiwiODE2NCIsIiIsIiIsIjMiLCLvvJHvvJjlnosiLCIiLCI0Iiwi77yR77yY44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE1MDMwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIxMjYiLCIxTlZNIiwiQTgwMDAwMDAi"
"","・１８週","１８シュウ","0","","27001901","0","IjAiLCJaIiwiODA5NiIsIiIsIiIsIjQiLCLjg7vvvJHvvJjpgLEiLCIiLCI1Iiwi77yR77yY44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE5MDEiLCI5RDBKIiwiQTgwMDAwMDAi"
